source_character	codepoint	transport_replacement	occurrences
는	U+B294	[U+B294]	1
니	U+B2C8	[U+B2C8]	2
다	U+B2E4	[U+B2E4]	2
될	U+B420	[U+B420]	1
드	U+B4DC	[U+B4DC]	1
려	U+B824	[U+B824]	3
를	U+B97C	[U+B97C]	1
만	U+B9CC	[U+B9CC]	2
면	U+BA74	[U+BA74]	3
미	U+BBF8	[U+BBF8]	1
발	U+BC1C	[U+BC1C]	2
사	U+C0AC	[U+C0AC]	3
생	U+C0DD	[U+C0DD]	2
서	U+C11C	[U+C11C]	2
수	U+C218	[U+C218]	3
스	U+C2A4	[U+C2A4]	3
습	U+C2B5	[U+C2B5]	2
에	U+C5D0	[U+C5D0]	3
여	U+C5EC	[U+C5EC]	2
와	U+C640	[U+C640]	3
용	U+C6A9	[U+C6A9]	3
위	U+C704	[U+C704]	1
이	U+C774	[U+C774]	1
있	U+C788	[U+C788]	3
지	U+C9C0	[U+C9C0]	2
찾	U+CC3E	[U+CC3E]	1
콘	U+CF58	[U+CF58]	1
펌	U+D38C	[U+D38C]	1
하	U+D558	[U+D558]	2
할	U+D560	[U+D560]	2
해	U+D574	[U+D574]	1
